hall,date,meal,food_name,serving_size,calories,total_fat,saturated_fat,carbs,protein,label_url
south,12/1/2025,Breakfast,Grilled Onion Green Pepper Quesadilla,1 each,709,38.5g,23.8g,60.9g,31.1g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=126316*1
south,12/1/2025,Breakfast,Brazilian Black Beans,3 OZ,141,9.1g,2.7g,7.7g,8.2g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=151083*3
south,12/1/2025,Breakfast,Coconut Cilantro Lime Rice,3 oz,130,1.1g,1g,25.9g,2.4g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=145177*3
south,12/1/2025,Breakfast,Fried Plantains,3 oz,153,3g,0.4g,28.9g,1.7g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=150371*3
south,12/1/2025,Breakfast,Picante Sauce,1 oz,19,0g,0g,5.6g,0g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=220052*1
south,12/1/2025,Breakfast,Sour Cream,1 oz,57,4.7g,3.3g,18.9g,0.9g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=220050*1
south,12/1/2025,Breakfast,Rotisserie Chicken,1 each,330,23.8g,6.6g,0.5g,27.4g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=080171*1
south,12/1/2025,Breakfast,Buttermilk Biscuit,1 each,272,12.1g,8.1g,34.3g,6g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=019361*1
south,12/1/2025,Breakfast,Chef's Fresh Mashed Potatoes,3 oz,207,4.2g,2.7g,36.4g,4.5g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=141110*3
south,12/1/2025,Breakfast,Chicken Gravy,1 oz,12,0.2g,0g,2.3g,0.3g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=135104*1
south,12/1/2025,Breakfast,Chili Lime Corn,3 oz,123,6.3g,3.2g,14.6g,5g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=150986*3
south,12/1/2025,Breakfast,Collard Green with Smoked Turkey,3 oz,50,0.2g,0g,7.7g,5.7g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=150304*3
south,12/1/2025,Breakfast,Cornbread Stuffing,3 oz,70,6.5g,2.9g,2.5g,0.4g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=019362*3
south,12/1/2025,Breakfast,Fresh Roasted Carrots,3 oz,45,1.1g,0.1g,7g,1g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=150308*3
south,12/1/2025,Breakfast,Fresh Steamed Broccoli,3 oz,9,0g,0g,1.5g,1.1g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=150309*3
south,12/1/2025,Breakfast,Fresh Steamed Green Beans,3 oz,21,0g,0g,5.3g,1.1g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=150306*3
south,12/1/2025,Breakfast,Italian Roasted Brussel Sprouts,3 oz,49,1.4g,0.2g,8.1g,3g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=150874*3
south,12/1/2025,Breakfast,Maple Roasted Sweet Potatoes,3 oz,121,0.4g,0.1g,28.4g,1.6g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=150311*3
south,12/1/2025,Breakfast,Mushroom Masala,3 oz,49,2.2g,1.4g,6g,2.2g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=150992*3
south,12/1/2025,Breakfast,White Cheddar Mac and Cheese,4 oz,162,13.3g,7.9g,3.4g,9.9g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=115257*4
south,12/1/2025,Breakfast,Baked Pesto Cod,4 oz,107,2.6g,0.4g,0.2g,19.8g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=090105*4
south,12/1/2025,Breakfast,Cheddar Cheesy Meatloaf,4 oz,240,17.1g,7.5g,17.4g,10.4g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=050300*4
south,12/1/2025,Breakfast,Leek Hash with Polenta and Feta Chese,4 oz,83,2.5g,1g,11.9g,3.9g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=150914*4
south,12/1/2025,Breakfast,Brown Butter Broccoli Red Onions,3 oz,70,3.9g,2.3g,7.3g,2.7g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=151119*3
south,12/1/2025,Breakfast,Greek Salad,3 oz,32,2.3g,0.4g,2.4g,0.7g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=903335*3
south,12/1/2025,Breakfast,Italian Herbed Lentils,3 oz,154,0.6g,0g,26g,11.1g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=100300*3
south,12/1/2025,Breakfast,Pesto Alfredo Sauce,1 oz,53,4.5g,2.6g,1.8g,1.1g,https://nutrition.umd.edu/label.aspx?RecNumAndPort=135171*1
